"STNDR_DAYHMINSEC","MSNT_GPS_LAT","MSNT_GPS_LONG","CCTV_LOCA_EXPLN","PM25_CTRN_MM3","PM10_CTRN_MM3","NO2_CTRN_PPM","O3_CTRN_PPM","CO_CTRN_PPM","SO2_CTRN_PPM","RRGMNT_WGS84_LAT","RRGMNT_WGS84_LONG","RRGMNT_UTMK_Y_CRDNT","RRGMNT_UTMK_X_CRDNT","RRGMNT_1ST_TLLBADD","RRGMNT_2ND_TLLBADD","RRGMNT_3RD_TLLBADD"
"20251106072003","35.182542","128.125233","남강제지 앞","6.0","9.0","0.011","0.021","1.706","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106034502","35.182542","128.125233","남강제지 앞","6.0","10.0","0.017","0.022","3.452","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106072101","35.182542","128.125233","남강제지 앞","6.0","10.0","0.011","0.021","1.775","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106053202","35.182542","128.125233","남강제지 앞","6.0","9.0","0.014","0.022","1.946","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106060402","35.182542","128.125233","남강제지 앞","6.0","10.0","0.013","0.022","1.432","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106061402","35.182542","128.125233","남강제지 앞","7.0","12.0","0.012","0.022","1.261","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106044601","35.182542","128.125233","남강제지 앞","5.0","8.0","0.015","0.022","3.549","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106063302","35.182542","128.125233","남강제지 앞","8.0","13.0","0.013","0.022","1.283","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106041702","35.182542","128.125233","남강제지 앞","7.0","11.0","0.016","0.022","2.78","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106071202","35.182542","128.125233","남강제지 앞","9.0","16.0","0.011","0.021","1.556","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106062702","35.182542","128.125233","남강제지 앞","6.0","9.0","0.012","0.021","1.37","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106065702","35.182542","128.125233","남강제지 앞","6.0","9.0","0.011","0.022","1.211","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106053602","35.182542","128.125233","남강제지 앞","6.0","9.0","0.013","0.022","1.897","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106035302","35.182542","128.125233","남강제지 앞","5.0","8.0","0.017","0.022","3.407","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106065902","35.182542","128.125233","남강제지 앞","6.0","9.0","0.012","0.021","1.256","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106033402","35.182542","128.125233","남강제지 앞","5.0","8.0","0.017","0.022","3.66","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106072202","35.182542","128.125233","남강제지 앞","6.0","10.0","0.012","0.021","1.795","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106035002","35.182542","128.125233","남강제지 앞","5.0","8.0","0.017","0.022","3.444","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106073202","35.182542","128.125233","남강제지 앞","6.0","9.0","0.011","0.021","1.875","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106053801","35.182542","128.125233","남강제지 앞","6.0","10.0","0.015","0.022","1.882","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106070601","35.182542","128.125233","남강제지 앞","9.0","15.0","0.011","0.022","1.417","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106064302","35.182542","128.125233","남강제지 앞","6.0","10.0","0.012","0.022","1.182","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106045101","35.182542","128.125233","남강제지 앞","5.0","9.0","0.015","0.022","3.565","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106070102","35.182542","128.125233","남강제지 앞","6.0","10.0","0.012","0.022","1.311","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106043902","35.182542","128.125233","남강제지 앞","5.0","8.0","0.016","0.022","3.65","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106072902","35.182542","128.125233","남강제지 앞","6.0","9.0","0.011","0.021","1.889","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106063502","35.182542","128.125233","남강제지 앞","7.0","12.0","0.012","0.021","1.286","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106070402","35.182542","128.125233","남강제지 앞","8.0","13.0","0.012","0.021","1.372","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106055302","35.182542","128.125233","남강제지 앞","7.0","11.0","0.014","0.022","1.714","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106040802","35.182542","128.125233","남강제지 앞","7.0","11.0","0.016","0.022","2.922","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106072402","35.182542","128.125233","남강제지 앞","6.0","9.0","0.011","0.021","1.841","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106033902","35.182542","128.125233","남강제지 앞","6.0","9.0","0.017","0.022","3.442","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106072802","35.182542","128.125233","남강제지 앞","6.0","9.0","0.011","0.021","1.887","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106040702","35.182542","128.125233","남강제지 앞","6.0","10.0","0.016","0.022","2.971","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106073502","35.182542","128.125233","남강제지 앞","5.0","9.0","0.011","0.021","1.856","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106055202","35.182542","128.125233","남강제지 앞","6.0","10.0","0.013","0.022","1.77","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
